,DATE DE CLASSEMENT,TYPOLOGIE ÉTABLISSEMENT,CLASSEMENT,CATÉGORIE,MENTION (villages de vacances),NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,SITE INTERNET,TYPE DE SÉJOUR,CAPACITÉ D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,NOMBRE D'EMPLACEMENTS,NOMBRE D'UNITES D'HABITATION (résidences de tourisme),NOMBRE DE LOGEMENTS (villages de vacances),classement prorogé
0,19/06/2023,HÔTEL DE TOURISME,3 étoiles,0,0,1924 HÔTEL,2 Rue Gabriel Péri,38000,GRENOBLE,https://www.1924hotel.com/,0,62,37,0,0,0,non
1,20/10/2021,HÔTEL DE TOURISME,4 étoiles,0,0,25HOURS HÔTEL TERMINUS NORD,12 boulevard de Denain,75010,PARIS 10E ARRONDISSEMENT,0,0,489,237,0,0,0,non
2,26/09/2019,HÔTEL DE TOURISME,2 étoiles,0,0,3B HÔTEL DE BORDEAUX,66 avenue de la Libération,33440,0,0,0,26,14,0,0,0,non
3,20/03/2023,HÔTEL DE TOURISME,5 étoiles,0,0,5 TERRES HÔTEL & SPA MGALLERY BY SOFITEL,11 Place de l'Hôtel de ville,67140,BARR,0,0,54,27,0,0,0,non
4,24/10/2022,HÔTEL DE TOURISME,4 étoiles,0,0,7HÔTEL&SPA,550 Boulevard Sébastien Brandt,67400,0,https://7hotel.fr/,0,288,137,0,0,0,non
5,29/11/2019,HÔTEL DE TOURISME,3 étoiles,0,0,9 HÔTEL BASTILLE LYON,23 rue de lyon,75012,PARIS,0,0,90,48,0,0,0,non
6,22/09/2021,HÔTEL DE TOURISME,3 étoiles,0,0,9HÔTEL OPÉRA,14 rue Papillon,75009,PARIS 9E ARRONDISSEMENT,0,0,91,48,0,0,0,non
7,21/02/2022,HÔTEL DE TOURISME,4 étoiles,0,0,9HÔTEL RÉPUBLIQUE,7/9 Rue Pierre Chausson,75010,PARIS 10E ARRONDISSEMENT,0,0,92,48,0,0,0,non
8,18/11/2022,HÔTEL DE TOURISME,2 étoiles,0,0,A L'OUSTAL,1 avenue des thermes,32150,CAZAUBON,www.hoteloustalbarbotan.fr,0,11,6,0,0,0,non
9,09/11/2022,HÔTEL DE TOURISME,4 étoiles,0,0,ABBAYE DE SAINTE CROIX,route du Val de Cuech,13300,0,0,0,61,25,0,0,0,non
10,02/05/2023,HÔTEL DE TOURISME,2 étoiles,0,0,ABBYS HÔTEL,0,24200,0,0,0,72,32,0,0,0,non
11,27/03/2023,HÔTEL DE TOURISME,2 étoiles,0,0,ABELHA HÔTEL,60 avenue jean jaurès,19100,0,http://www.abelha.fr,0,51,23,0,0,0,non
12,31/03/2023,HÔTEL DE TOURISME,3 étoiles,0,0,ABOR HOTEL,112 chemin de lubet,40280,0,www.aborhotel.com,0,187,68,0,0,0,non
13,29/06/2023,HÔTEL DE TOURISME,4 étoiles,0,0,AC HOTEL BY MARRIOTT STRASBOURG,0,67000,STRASBOURG,0,0,342,170,0,0,0,non
14,23/01/2023,HÔTEL DE TOURISME,4 étoiles,0,0,0,"9000 route d'Annecy, Zone de Cervonnex",74160,0,0,0,186,93,0,0,0,non
15,08/02/2022,HÔTEL DE TOURISME,4 étoiles,0,0,AC HÔTEL PARIS LE BOURGET AIRPORT,2 rue de la Haye,93440,DUGNY,0,0,248,122,0,0,0,non
16,26/09/2019,HÔTEL DE TOURISME,4 étoiles,0,0,AC HÔTEL PARIS PORTE MAILLOT,6 rue Gustave Charpentier,75017,PARIS,0,0,328,164,0,0,0,non
17,28/03/2022,HÔTEL DE TOURISME,2 étoiles,0,0,ACCOSTAGE HÔTEL,6 avenue Coligny,17000,LA ROCHELLE,0,0,32,15,0,0,0,non
18,24/10/2023,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HOTEL METZ,90 BIS BOULEVARD SOLIDARITE,57000,METZ,0,0,171,62,0,0,0,non
19,24/03/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL ANGERS,Rue de Paon,49124,0,0,0,165,60,0,0,0,non
20,30/10/2023,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL ANNECY,8 BOULEVARD DU SEMNOZ,74600,SEYNOD,0,0,163,73,0,0,0,non
21,31/10/2023,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL ANNEMASSE GENÈVE,RUE DES BICHES,74100,0,0,0,181,64,0,0,0,non
22,09/01/2024,HÔTEL DE TOURISME,2 étoiles,0,0,ACE HÔTEL ATHÉE SUR CHER,AUTOROUTE A85,37270,0,0,0,76,29,0,0,0,non
23,21/06/2019,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL BEAURAINS,11 avenue des coquelicots,62217,BEAURAINS,0,0,162,60,0,0,0,non
24,24/07/2023,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL BORDEAUX CESTAS,A 63  aire de Bordeaux Cestas,33610,CESTAS,0,0,197,70,0,0,0,non
25,14/03/2024,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL BOURGES,ZAC de l'échangeur,18000,BOURGES,0,0,173,65,0,0,0,non
26,24/01/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL CAEN MÉMORIAL,7 rue René Cassin,14280,0,0,0,165,61,0,0,0,non
27,01/12/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL CARBON BLANC,5 avenue de la Gardette,33560,0,0,0,171,63,0,0,0,non
28,02/02/2023,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL CHARTRES,Rue de la Maladrerie,28630,LE COUDRAY,0,0,177,64,0,0,0,non
29,23/01/2019,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL CLERMONT LA PARDIEU,Rue de l'Eminée,63100,0,0,0,139,55,0,0,0,oui
30,24/10/2023,HÔTEL DE TOURISME,3 étoiles,0,0,0,80 A rue de Longeville,57150,CREUTZWALD,0,0,137,61,0,0,0,non
31,31/05/2023,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL LE MANS NORD,2 rue Louis Chappée,72650,0,0,0,182,63,0,0,0,non
32,01/02/2024,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL LYON VÉNISSIEUX PARC DES EXPOSITIONS,385 route de Vienne,69200,VÉNISSIEUX,0,0,201,96,0,0,0,non
33,23/01/2019,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL MONTLUCON,RUE ANDRE CITROEN ZONE DE LA LOUE,03410,0,0,0,154,54,0,0,0,oui
34,21/06/2019,HÔTEL DE TOURISME,2 étoiles,0,0,ACE HÔTEL NOYELLES GODAULT LILLE,rue de Beaumont,62950,0,0,0,142,55,0,0,0,non
35,29/11/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL PARIS MARNE LA VALLÉE,3 Boulevard des Artisans,77700,0,0,0,222,76,0,0,0,non
36,02/05/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL PARIS ROISSY,6 rue Galilée,77290,0,0,0,214,80,0,0,0,non
37,21/07/2020,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL PARIS SUD VILLABE,1 route de Villoison,91100,VILLABÉ,0,0,213,76,0,0,0,non
38,23/06/2023,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL POITIERS,rue de la maison Coupée,86000,POITIERS,0,0,181,60,0,0,0,non
39,28/01/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL RIOM,Rue Louis Amstrong,63200,RIOM,0,0,151,56,0,0,0,non
40,17/03/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL ROUEN PARC DES EXPOS,75 avenue de la Mare Sansoure,76650,0,0,0,191,70,0,0,0,non
41,21/01/2019,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL SALON DE PROVENCE,161 CHEMIN DES ENTRAGES,13300,0,0,0,145,55,0,0,0,oui
42,15/12/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL THIONVILLE PORTE DU LUXEMBOURG,98 route de Buchel,57100,THIONVILLE,0,0,163,61,0,0,0,non
43,02/10/2019,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL TOULOUSE BLAGNAC,35 bis route de Toulouse,31700,CORNEBARRIEU,0,0,172,65,0,0,0,non
44,02/05/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL TROYES,89 route d’Auxerre,10120,0,0,0,150,57,0,0,0,non
45,05/12/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL VALENCE,47 avenue des Auréats,26000,VALENCE,0,0,167,58,0,0,0,non
46,04/03/2020,HÔTEL DE TOURISME,3 étoiles,0,0,ACE HÔTEL VENDÉE SAINTE HERMINE,Parc Vendée Atlantique,85210,0,0,0,117,49,0,0,0,non
47,08/06/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACROPOLE HÔTEL,10 rue de la Grande Malouve,27300,BERNAY,0,0,114,50,0,0,0,non
48,16/03/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ACROPOLIS HÔTEL PARIS BOULOGNE,63 rue Thiers,92100,0,https://www.acropolishotel.fr/fr/,0,60,30,0,0,0,non
49,26/04/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ADMIRAL'S HÔTEL,Boulevard du Souvenir Français,85100,0,https://www.admiralhotel.fr/,0,84,33,0,0,0,non
50,19/07/2018,HÔTEL DE TOURISME,2 étoiles,0,0,ADONIS EMILIE HERNANDEZ DIRECTRICE,25 Boulevard Estienne d'Orves,83110,0,0,0,68,31,0,0,0,oui
51,10/08/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE AU GAT,2714 route de Laguens,40550,LÉON,0,0,100,0,30,0,0,non
52,06/07/2023,CAMPING,Aire naturelle,0,0,AIRE NATURELLE CAMPING LA LOIRE FLEURIE,60 chemin de la Jalonnière,85300,LE PERRIER,0,0,75,0,25,0,0,non
53,21/09/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE CAMPING À LA FERME OSPITALIA,maison ospitalia,64640,HÉLETTE,0,0,66,0,22,0,0,non
54,21/07/2023,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE CAMPING  À LA FERME  L'ILOT,route de l'ilot,17570,0,https://airenaturellelilot.fr/,0,100,0,25,0,0,non
55,08/08/2023,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE CAMPING BELLEVUE,24 chemin de la Plaine,65400,0,0,0,75,0,30,0,0,non
56,21/09/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE CAMPING CAZENAVE DOUX,19 rue Houndaa,64260,CASTET,0,0,60,0,15,0,0,non
57,14/10/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE CAMPING DIRIART,Départementale 22,64780,SUHESCUN,http://campingalafermepaysbasque.com/,0,100,0,25,0,0,non
58,27/10/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE CAMPING FERME LANDRAN,Route de Lambarre,64130,ORDIARP,0,0,100,0,25,0,0,non
59,02/06/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE CAMPING LA DEVÈZE,Mas la Devèze,34190,MONTOULIEU,https://deveze.com/,0,100,0,25,0,0,non
60,25/05/2021,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE CAMPING LA JONQUILLE,6 rue des Jonquilles,70210,HURECOURT,0,0,80,0,20,0,0,non
61,22/06/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE CAMPING LA TEOULEYRE,468 chemin de Jean de Paul,40170,0,https://lateouleyre.jimdo.com/,0,150,0,30,0,0,non
62,23/09/2021,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE CAMPING LE MOULIN,Quartier le Moulin,26340,PRADELLE,https://www.relaislemoulin.com/,0,60,0,15,0,0,non
63,02/10/2020,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE CAMPING LES RIVES DU LAC,La ferme de Rieumontagné,81320,NAGES,www.lesrivesdulac.com,0,40,0,10,0,0,non
64,08/09/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DE FRANC,226 chemin de Franc,40660,0,0,0,100,0,30,0,0,non
65,02/10/2023,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DOMAINE DE CALABEL,Lieu dit Haouré,32320,POUYLEBON,https://www.domainedecalabel.com/,0,80,0,20,0,0,non
66,26/04/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE DU FORT SAMSON,25 rue du Fort Samson,14450,0,https://campingdufortsamson.com/,0,100,0,29,0,0,non
67,24/06/2019,CAMPING,Aire naturelle,0,0,AIRE NATURELLE FERME DE LA BORDE,La Borde,12390,BOURNAZEL,http://fermelaborde12.fr/,0,45,0,20,0,0,non
68,13/04/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE KERALUIC,0,29120,PLOMEUR,https://keraluic.fr/bienvenue,0,100,0,15,0,0,non
69,03/09/2021,CAMPING,Aire naturelle,0,0,AIRE NATURELLE LA BERGE OMBRAGÉE,0,19120,0,0,0,25,0,25,0,0,non
70,26/04/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE LAFARGUE DUPORT,1674 chemin de Mayotte,40600,BISCARROSSE,0,0,60,0,17,0,0,non
71,30/07/2021,CAMPING,Aire naturelle,0,0,AIRE NATURELLE LE CASROUGE,0,50230,0,0,0,70,0,15,0,0,non
72,26/10/2021,CAMPING,Aire naturelle,0,0,AIRE NATURELLE LE CLOS VERT,Village de l'Église,50190,0,0,0,9,0,9,0,0,non
73,11/10/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE LE MAS DE ROME,0,30630,GOURDARGUES,0,0,150,0,25,0,0,non
74,16/06/2022,CAMPING,Aire naturelle,0,0,AIRE NATURELLE LE TOY,1284 route des Carroués,40990,HERM,0,0,120,0,30,0,0,non
75,03/09/2021,CAMPING,Aire naturelle,0,0,AIRE NATURELLE LE VALEYRAN,0,19120,0,0,0,25,0,20,0,0,non
76,22/05/2019,CAMPING,Aire naturelle,0,0,AIRE NATURELLE LES BRUYÈRES,3725 route de Bordeaux,40600,BISCARROSSE,0,0,100,0,25,0,0,non
77,25/10/2023,CAMPING,Aire naturelle,0,0,AIRE NATURELLE LES CERISIERS,987 route de Pelussin,42520,MACLAS,0,0,75,0,25,0,0,non
78,16/11/2023,HÔTEL DE TOURISME,2 étoiles,0,0,AIX HÔTEL,115 rue charles duchesne,0,0,http://www.aixhotel.fr/,0,94,37,0,0,0,non
79,14/06/2022,HÔTEL DE TOURISME,3 étoiles,0,0,AKENA HÔTELS NANTES REZÉ AÉROPORT,12 rue des Bruyères,44400,REZÉ,0,0,164,78,0,0,0,non
80,24/10/2022,HÔTEL DE TOURISME,2 étoiles,0,0,ALB'HÔTEL,369 Route des Asnières,74540,0,https://www.albhotel.fr/,0,92,38,0,0,0,non
81,08/04/2019,HÔTEL DE TOURISME,3 étoiles,0,0,ALBA OPÉRA HÔTEL,34 ter rue de la Tour d'Auvergne,75009,PARIS,https://www.albaoperahotel.com/,0,47,24,0,0,0,non
82,21/09/2023,HÔTEL DE TOURISME,4 étoiles,0,0,ALBERTE HÔTEL,66 avenue Bosquet,75007,PARIS 7E ARRONDISSEMENT,www.albertehotel.com,0,46,23,0,0,0,non
83,07/03/2023,HÔTEL DE TOURISME,4 étoiles,0,0,ALBERT’S HÔTEL PARIS,22 rue du Grand Prieuré,75011,PARIS,http://www.angelyhotelparis.com,0,44,22,0,0,0,non
84,06/01/2020,HÔTEL DE TOURISME,3 étoiles,0,0,ALEX HOTEL,0,13001,MARSEILLE,0,0,45,21,0,0,0,non
85,04/01/2023,HÔTEL DE TOURISME,5 étoiles,0,0,ALEXANDRA PALACE,0,79310,0,https://www.hotelalexandrapalace.com,0,39,17,0,0,0,non
86,21/03/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ALEZAN HÔTEL,2 allée Antoine Osete,31000,TOULOUSE,0,0,180,64,0,0,0,non
87,24/03/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ALIVE HÔTEL DE QUÉBEC,0,76000,ROUEN,0,0,60,25,0,0,0,non
88,09/05/2023,RÉSIDENCE DE TOURISME,3 étoiles,0,0,0,3 Boulervard du Mont d'Est,93160,0,0,0,320,0,0,174,0,non
89,16/05/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ALLOBROGES PARK HÔTEL,11 rue Sommeiller,74000,ANNECY,https://www.allobroges.com/,0,95,49,0,0,0,non
90,11/08/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ALS HÔTEL,Carrefour de la Vierge,68490,OTTMARSHEIM,https://alshotel.com/fr/,0,88,40,0,0,0,non
91,12/10/2023,CAMPING,3 étoiles,LOISIRS,0,ALSACE CAMPING,14 rue Heiligenberg Gare,67190,GRESSWILLER,http://www.alsacecamping.net/,0,210,0,70,0,0,non
92,11/03/2024,HÔTEL DE TOURISME,2 étoiles,0,0,ALT HOTEL,ZAE Desmariniere,97320,SAINT LAURENT DU MARONI,https://althotelslm.fr/,0,61,26,0,0,0,non
93,01/02/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ALTI HÔTEL,19 allée d'Étigny,31110,0,0,0,106,47,0,0,0,non
94,27/06/2022,HÔTEL DE TOURISME,2 étoiles,0,0,ALTI'PIC HÔTEL,30 avenue Georges Clémenceau,63240,0,0,0,39,19,0,0,0,non
95,29/11/2022,HÔTEL DE TOURISME,4 étoiles,0,0,ALYSSON HÔTEL,24 boulevard des pyrénées,64400,0,0,0,104,49,0,0,0,non
96,21/11/2019,HÔTEL DE TOURISME,3 étoiles,0,0,AMA HÔTEL,8 Rue de la Maison Suisse,64200,BIARRITZ,0,0,30,15,0,0,0,non
97,22/07/2022,HÔTEL DE TOURISME,2 étoiles,0,0,AMADOUR HÔTEL,L'HOSPITALET,46500,ROCAMADOUR,0,0,39,15,0,0,0,non
98,29/06/2022,HÔTEL DE TOURISME,4 étoiles,0,0,AMIRAL HÔTEL,98 avenue d'Italie,75013,PARIS 13E ARRONDISSEMENT,https://www.amiralhotel.com/,0,91,49,0,0,0,non
99,24/03/2022,HÔTEL DE TOURISME,3 étoiles,0,0,AMIRAUTÉ HÔTEL,Route de Paris,14800,TOUQUES,https://www.amiraute.com/,0,653,210,0,0,0,non
100,04/05/2022,RÉSIDENCE DE TOURISME,3 étoiles,0,0,APART'É RÉSIDENCE LES COTTAGES DU LAC,190 chemin des Cottages,40160,0,http://www.lescottagesdulac.fr/fr/,0,616,0,0,148,0,non
101,13/08/2021,HÔTEL DE TOURISME,3 étoiles,0,0,APARTHÔTEL AMMI VIEUX NICE,10 boulevard Jean Jaurès,06300,NICE,https://www.ammivieuxnice.com/,0,29,10,0,0,0,non
102,08/09/2022,HÔTEL DE TOURISME,2 étoiles,0,0,APPART HOTEL LE MOULIN DU VERDON,272 avenue du verdon,04800,0,https://greoux.fr/,0,34,17,0,0,0,non
103,15/12/2021,HÔTEL DE TOURISME,1 étoile,0,0,APPART HÔTEL PACCIOLELLO,Route du Fort,20166,0,0,0,14,6,0,0,0,non
104,28/03/2022,HÔTEL DE TOURISME,3 étoiles,0,0,APPART HÔTEL VICTORIA,16 rue de Montreuil,94300,VINCENNES,https://www.apparthotelvictoria.com/,0,38,16,0,0,0,non
105,22/02/2019,HÔTEL DE TOURISME,3 étoiles,0,0,APPART' HÔTEL DES CAPUCINS,29 rue des Capucins,43000,0,http://www.lescapucins.net,0,52,26,0,0,0,oui
106,12/01/2023,RÉSIDENCE DE TOURISME,3 étoiles,0,0,APPART'CITY CONFORT MARSEILLE CENTRE PRADO VELODROME,1 Rue Vandel,13008,MARSEILLE 8E ARRONDISSEMENT,0,0,156,0,0,69,0,non
107,25/09/2023,RÉSIDENCE DE TOURISME,4 étoiles,0,0,APPART'CITY PARIS GARE DE LYON,114 Avenue Daumesnil,75012,PARIS 12E ARRONDISSEMENT,0,0,234,0,0,109,0,non
108,19/09/2019,HÔTEL DE TOURISME,3 étoiles,0,0,APPART'HÔTEL ATAO,6 rue de la Blanche Hermine,35770,0,0,0,78,38,0,0,0,non
109,14/01/2022,HÔTEL DE TOURISME,2 étoiles,0,0,APPART'HÔTEL LE MIRASOL,11 avenue du Belvédère,66760,ENVEITG,0,0,15,5,0,0,0,non
110,14/01/2022,HÔTEL DE TOURISME,3 étoiles,0,0,APPARTHÔTEL LA GIRAFE MARSEILLE EST,0,13821,0,0,0,43,18,0,0,0,non
111,16/01/2024,HÔTEL DE TOURISME,2 étoiles,0,0,APPARTHÔTEL LES TILLEULS,16 allée des Tilleuls,33490,0,0,0,20,10,0,0,0,non
112,27/02/2024,RÉSIDENCE DE TOURISME,4 étoiles,0,0,APPART’CITY COLLECTION PARIS GRANDE BIBLIOTHÈQUE,70 avenue de France,75013,PARIS,0,0,328,0,0,144,0,non
113,11/07/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ARC HÔTEL SUR MER,89 boulevard de la Plage,33120,ARCACHON,0,0,64,30,0,0,0,non
114,10/12/2021,HÔTEL DE TOURISME,3 étoiles,0,0,ARCHE HÔTEL,13 rue du 11 novembre 1918,18100,VIERZON,0,0,88,41,0,0,0,non
115,30/09/2022,CAMPING,4 étoiles,TOURISME,0,ARDÈCHE CAMPING,Chemin du camping,07000,PRIVAS,http://www.ardechecamping.fr,0,498,0,166,0,0,non
116,29/08/2023,HÔTEL DE TOURISME,3 étoiles,0,0,ARL HÔTEL,2 Rue Charlie  Chaplin,13200,ARLES,https://www.arlhotel.com/,0,87,42,0,0,0,non
117,08/02/2024,HÔTEL DE TOURISME,3 étoiles,0,0,ARMONY HÔTEL,Rue Saint Exupery,27310,0,0,0,119,56,0,0,0,non
118,28/10/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ARMORIC HÔTEL,3 rue de Penfoul,29950,BÉNODET,0,0,62,30,0,0,0,non
119,16/12/2020,HÔTEL DE TOURISME,3 étoiles,0,0,AROME HÔTEL NICE,65 rue de la Buffa,06000,NICE,http://www.aromehotelnice.com/,0,20,11,0,0,0,non
120,09/01/2024,HÔTEL DE TOURISME,4 étoiles,0,0,ART HÔTEL,19 quai de la Loire,37210,ROCHECORBON,0,0,56,28,0,0,0,non
121,21/03/2019,HÔTEL DE TOURISME,3 étoiles,0,0,ART HÔTEL EIFFEL,136 boulevard de Grenelle,75015,PARIS,www.arthoteleiffel.com,0,66,36,0,0,0,non
122,21/03/2019,HÔTEL DE TOURISME,3 étoiles,0,0,ART HÔTEL LAFAYETTE,98 rue Hauteville,75010,PARIS,http://www.arthotellafayette.com/,0,47,26,0,0,0,non
123,16/09/2020,HÔTEL DE TOURISME,3 étoiles,0,0,ARTEMIS HÔTEL,11 parc des conchettes,43100,BRIOUDE,0,0,80,40,0,0,0,non
124,19/09/2022,HÔTEL DE TOURISME,3 étoiles,0,0,AS HÔTEL ORLÉANS NORD ARTENAY,29 rue du Chartres,45410,ARTENAY,0,0,69,34,0,0,0,non
125,09/08/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ASHLEY HÔTEL,27 Boulevard Robert Jarry,72000,LE MANS,0,0,69,31,0,0,0,non
126,21/02/2022,HÔTEL DE TOURISME,2 étoiles,0,0,ATIPIK HÔTEL,19 rue Vaugelas,74000,ANNECY,https://www.atipikhotel.fr/,0,51,25,0,0,0,non
127,01/12/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ATLANTIC HÔTEL,3 quai Carnot,85350,0,0,0,37,17,0,0,0,non
128,02/10/2020,HÔTEL DE TOURISME,3 étoiles,0,0,ATLANTIC HÔTEL,44 rue de Londres,75008,PARIS,0,0,183,81,0,0,0,non
129,23/02/2021,HÔTEL DE TOURISME,4 étoiles,0,0,ATLANTIC HÔTEL,5 promenade Georges Godet,85100,0,https://www.atlantichotel.fr/,0,68,34,0,0,0,non
130,09/10/2023,HÔTEL DE TOURISME,3 étoiles,0,0,ATLANTIC HÔTEL,11 rue de la Sablière,17310,0,0,0,51,19,0,0,0,non
131,30/10/2018,HÔTEL DE TOURISME,2 étoiles,0,0,ATLANTIC HÔTEL PAU,222 avenue Jean Mermoz,64000,PAU,0,0,38,24,0,0,0,oui
132,22/12/2022,HÔTEL DE TOURISME,2 étoiles,0,0,ATLANTIC HÔTEL RENNES CENTRE GARE,31 boulevard de Beaumont,35000,RENNES,0,0,46,24,0,0,0,non
133,22/02/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ATMOSPHÈRE HÔTEL,76 avenue de la Muzelle,38860,0,0,0,100,30,0,0,0,non
134,05/02/2019,HÔTEL DE TOURISME,3 étoiles,0,0,ATN HÔTEL,21 rue d 'Athènes,75009,PARIS,http://www.atnhotel.fr,0,76,36,0,0,0,oui
135,16/12/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ATOLL HÔTEL,923 boulevard de la mer,83600,FRÉJUS,0,0,80,33,0,0,0,non
136,16/09/2019,HÔTEL DE TOURISME,3 étoiles,0,0,ATOLON PARK HÔTEL,5 Rue d'Oslo,67170,BERNOLSHEIM,0,0,141,66,0,0,0,non
137,21/12/2021,HÔTEL DE TOURISME,4 étoiles,0,0,ATRIUM HÔTEL,0,26000,VALENCE,0,0,134,56,0,0,0,non
138,29/11/2022,HÔTEL DE TOURISME,3 étoiles,0,0,ATYPIK HÔTEL,20 rue villeneuve,92110,CLICHY,http://www.hotelclichy.com/,0,98,47,0,0,0,non
139,10/10/2023,CAMPING,2 étoiles,LOISIRS,0,AU CAMPING ROUBAISIEN,Rue de l'Abbaye,62860,0,0,0,300,0,100,0,0,non
140,21/07/2023,HÔTEL DE TOURISME,1 étoile,0,0,AU GRAND DUQUESNE,15 place saint jacques,76200,DIEPPE,0,0,23,10,0,0,0,non
141,25/04/2019,HÔTEL DE TOURISME,4 étoiles,0,0,AU GRAND HÔTEL DE SARLAT,95 avenue de Selves,24200,0,0,0,104,49,0,0,0,non
142,03/06/2021,HÔTEL DE TOURISME,2 étoiles,0,0,AU NOUVEL HÔTEL,224 boulevard de Tessé,83000,TOULON,https://aunouvelhotel.com/fr/,0,52,28,0,0,0,non
143,02/06/2022,HÔTEL DE TOURISME,3 étoiles,0,0,AU PALMYRE HÔTEL,2 allée des Passereaux,17570,LES MATHES,0,0,122,45,0,0,0,non
144,03/06/2019,HÔTEL DE TOURISME,2 étoiles,0,0,AU PRIMEROSE HÔTEL,23 rue de l'Yser,65400,0,0,0,54,25,0,0,0,non
145,02/11/2021,HÔTEL DE TOURISME,2 étoiles,0,0,AU ROYAL HÔTEL,22 boulevard Jean Jaurès,11000,CARCASSONNE,0,0,44,19,0,0,0,non
146,12/07/2023,HÔTEL DE TOURISME,3 étoiles,0,0,AUBERGE ALSACIENNE,12 grand rue,68420,EGUISHEIM,0,0,38,19,0,0,0,non
147,21/12/2023,AUBERGE COLLECTIVE,Auberge collective,0,0,AUBERGE ASSOCIATION TY AL LEVENEZ,37 avenue du révérend père Umbricht,35400,0,0,0,290,96,0,0,0,non
148,09/01/2024,AUBERGE COLLECTIVE,Auberge collective,0,0,AUBERGE ASSOCIATION VAL DE L'HORT,1050 CHEMIN BAS,30140,ANDUZE,https://valdelhort.com/,0,100,29,0,0,0,non
149,30/09/2019,HÔTEL DE TOURISME,3 étoiles,0,0,AUBERGE AU BOEUF,1 rue de l'Eglise,67770,SESSENHEIM,0,0,10,4,0,0,0,non
150,18/03/2022,HÔTEL DE TOURISME,2 étoiles,0,0,AUBERGE AUX PORTES DE CONQUES,5 route du Moulin,12320,0,https://www.auxportesdeconques.com/,0,22,10,0,0,0,non
